A	Affection
M	rs2379077
M	rs725314
M	rs1112787
M	rs1335310
M	rs952971
M	rs2388258
M	rs952153
M	rs1964428
M	rs1961463
M	rs2031574
M	rs2077668
M	rs1901633
M	rs1937840
M	rs2398235
M	rs1887027
M	rs1073646
M	rs725105
M	rs613960
M	rs764189
M	rs1867131
M	rs1538393
M	rs768166
M	rs494602
M	rs723214
M	rs2388894
M	rs725861
M	rs953475
M	rs1555732
M	rs957928
M	rs1413288
M	rs722569
M	rs1924507
M	rs2224868
M	rs4131374
M	rs1359889
M	rs965308
M	rs2801495
M	rs1409961
M	rs723211
M	rs723210
M	rs1888668
M	rs552437
M	rs727518
M	rs1409327
M	rs922239
M	rs724177
M	rs2138926
M	rs1417097
M	rs1577221
M	rs902073
M	rs1398431
M	rs359316
M	rs1926740
M	rs1986480
M	rs1573222
M	rs1387837
M	rs951129
M	rs2358272
M	rs1889521
M	rs1409739
M	rs1986635
M	rs2358839
M	rs1412558
M	rs2008659
M	rs788976
M	rs1417184
M	rs1185300
M	rs959205
M	rs958425
M	rs1929609
M	rs1343709
M	rs220346
M	rs1112284
M	rs1556398
M	rs1414459
M	rs951857
M	rs956088
M	rs2149636
M	rs1414042
M	rs722969
M	rs723370
M	rs2367981
M	rs1402437
M	rs1335546
M	rs1870098
M	rs1411189
M	rs332176
M	rs1032511
M	rs1343992
M	rs2368945
M	rs950000
M	rs3886283
M	rs953869
M	rs956271
M	rs303450
M	rs991610
M	rs1016836
M	rs2065443
M	rs950132
M	rs951342
M	rs927099
M	rs1414992
M	rs4129050
M	rs1412121
M	rs726197
M	rs1121682
M	rs2384212
M	rs3844127
M	rs1926554
M	rs1336067
M	rs1537328
M	rs1914154
M	rs1208767
M	rs2335068
M	rs2082106
M	rs1112959
M	rs951260
M	rs1482477
M	rs1408814
M	rs952956
M	rs1112268
M	rs724124
M	rs2377354
M	rs1373793
M	rs2377628
M	rs726786
M	rs1904596
M	rs3849150
M	rs958967
M	rs1917822
M	rs717721
M	rs2338051
M	rs1583522
M	rs1326254
M	rs1343809
M	rs726195
M	rs1903991
M	rs955779
M	rs1992529
M	rs1112532
M	rs2891427
M	rs1387657
M	rs1900451
M	rs718310
M	rs2221567
M	rs721825
M	rs2026414
M	rs951435
M	rs1336199
M	rs1936458
M	rs1838453
M	rs1073665
M	rs1916506
M	rs1949741
M	rs2172407
M	rs1698429
M	rs1199098
M	rs717453
M	rs721992
M	rs723212
M	rs997238
M	rs1459728
M	rs950826
M	rs723009
M	rs2044122
M	rs1904406
M	rs1871445
M	rs1915448
M	rs2256377
M	rs718146
M	rs3886738
M	rs2138556
M	rs1955332
M	rs2393895
M	rs950214
M	rs1546479
M	rs2140390
M	rs2394075
M	rs1319025
M	rs1915624
M	rs3852427
M	rs1113930
M	rs1892114
M	rs950054
M	rs1670151
M	rs1381848
M	rs1911326
M	rs713298
M	rs1925609
M	rs1925633
M	rs1925605
M	rs2394337
M	rs2394335
M	rs1582573
M	rs1900018
M	rs1599711
M	rs1599710
M	rs3852447
M	rs844125
M	rs719386
M	rs879154
M	rs1652713
M	rs3887081
M	rs717387
M	rs2395375
M	rs1907333
M	rs1074181
M	rs1907718
M	rs555766
M	rs652373
M	rs625587
M	rs1878001
M	rs2812415
M	rs719871
M	rs1369752
M	rs1437803
M	rs719338
M	rs942793
M	rs726014
M	rs1913760
M	rs2880952
M	rs1073077
M	rs265460
M	rs2207664
M	rs956368
M	rs2207782
M	rs723195
M	rs951203
M	rs1390408
M	rs478982
M	rs1412917
M	rs4128499
M	rs2348884
M	rs1408357
M	rs495019
M	rs1933942
M	rs1316553
M	rs884143
M	rs1416924
M	rs1399268
M	rs718719
M	rs1876895
M	rs1917152
M	rs1077092
M	rs536243
M	rs2437871
M	rs701826
M	rs1977389
M	rs951647
M	rs1359624
M	rs2077946
M	rs1408584
M	rs943317
M	rs2209672
M	rs1935254
M	rs2263619
M	rs1936614
M	rs2254391
M	rs724586
M	rs1114700
M	rs1539041
M	rs1589067
M	rs2422070
M	rs1571034
M	rs1418754
M	rs956070
M	rs725888
M	rs2077733
M	rs481031
M	rs604489
M	rs726817
M	rs2104543
M	rs1853205
M	rs1579029
M	rs726176
M	rs1326939
M	rs1933166
M	rs1414918
M	rs953097
M	rs764223
M	rs1112707
M	rs2169462
M	rs654987
M	rs965934
M	rs2862611
M	rs1986646
M	rs1408344
M	rs755189
M	rs1409311
M	rs763914
M	rs582661
M	rs950129
M	rs728453
M	rs728423
M	rs791123
M	rs1361356
M	rs952965
M	rs2181019
M	rs950809
M	rs950435
M	rs1591815
M	rs1416411
M	rs1372184
M	rs1903905
M	rs725112
M	rs2418976
M	rs765651
M	rs1553146
M	rs1928449
M	rs2225719
M	rs1034158
M	rs1332257
M	rs2078589
M	rs723483
M	rs1936147
M	rs1936134
M	rs1853189
M	rs953196
M	rs1914070
M	rs1337987
M	rs1923658
M	rs959127
M	rs726009
M	rs724548
M	rs2419620
M	rs723373
M	rs499050
M	rs1891760
M	rs911704
M	rs2900991
M	rs50870
M	rs180935
M	rs217190
M	rs1953601
M	rs723471
M	rs756497
M	rs2420250
M	rs726525
M	rs363225
M	rs721407
M	rs1113323
M	rs1986420
M	rs722525
M	rs703443
M	rs1415953
M	rs1409317
M	rs1413582
M	rs950367
M	rs1577207
M	rs966158
M	rs1896404
M	rs1896423
M	rs1909668
M	rs2420970
M	rs3905303
M	rs2014307
M	rs763720
M	rs953355
M	rs2421172
M	rs4131048
M	rs718949
M	rs1380316
M	rs1380439
M	rs1436797
M	rs2366883
M	rs952199
M	rs1931737
M	rs1931741
M	rs1931710
M	rs2148895
M	rs1894410
M	rs2050769
M	rs2039371
M	rs2039372
M	rs1400433
M	rs1912000
M	rs764115
M	rs2136298
M	rs1368666
M	rs1491192
